测试类型,标准问题,测试问题,关键词,关键词命中率,数字匹配率,准确,响应时间
标准问题,医保结算单是什么？,医保结算单是什么？,"医保结算单,医保单据,自付金额",20%,100%,否,4506ms
标准问题,出院后。理赔是这样吗？,出院后。理赔是这样吗？,"出院后理赔,理赔流程,申请方式",100%,100%,是,13956ms
标准问题,申请理赔的方式有哪些？哪种方式更方便？,申请理赔的方式有哪些？哪种方式更方便？,"理赔方式,申请赔款,线上申请",0%,100%,是,2723ms
标准问题,如何查询理赔进度？,如何查询理赔进度？,"理赔进度,查询状态,报销进展",20%,100%,是,3982ms
标准问题,线下理赔地址和工作时间是什么？,线下理赔地址和工作时间是什么？,"线下理赔,地址,工作时间",60%,100%,是,3555ms
标准问题,线下理赔地址在哪里？,线下理赔地址在哪里？,线下理赔地址,100%,100%,是,3814ms
标准问题,理赔立案需要多长时间？,理赔立案需要多长时间？,"理赔时效,立案时间,审核周期",0%,100%,否,3046ms
标准问题,身份证件过期后可以申请理赔吗,身份证件过期后可以申请理赔吗,"理赔,证件过期,申请",80%,100%,否,3269ms
标准问题,异地就医是否可以理赔？,异地就医是否可以理赔？,"异地就医,理赔,报销",100%,100%,是,5593ms
标准问题,如何申请宁惠保理赔？,如何申请宁惠保理赔？,"宁惠保理赔,申请,时间",20%,0%,是,6348ms
标准问题,理赔未通过的原因是什么？,理赔未通过的原因是什么？,"理赔失败,未通过原因,审核不通过",0%,0%,否,1023ms
标准问题,怎么办理异地就医备案手续？,怎么办理异地就医备案手续？,"异地就医备案,异地就医手续,备案方式",20%,100%,是,2918ms
标准问题,医院等级在哪里查看？,医院等级在哪里查看？,"医院等级查询,医疗机构等级,医院级别",0%,100%,否,3032ms
标准问题,线下办理理赔指导地址和时间是什么？,线下办理理赔指导地址和时间是什么？,"线下理赔,办理地点,窗口地址",0%,100%,是,4008ms
标准问题,理赔审核需要多长时间？,理赔审核需要多长时间？,"理赔审核,处理时间,快赔",20%,100%,是,3687ms
标准问题,在哪里查询理赔须知？,在哪里查询理赔须知？,"理赔须知,报销说明,申请赔款",40%,100%,否,4247ms
标准问题,理赔申请被驳回的原因是什么？,理赔申请被驳回的原因是什么？,"理赔驳回,申请被拒,自费购药",0%,0%,否,1282ms
标准问题,理赔需要多长时间？,理赔需要多长时间？,"理赔时间,处理时效,多久能赔",0%,100%,是,5448ms
标准问题,如何申请理赔？理赔流程是什么？,如何申请理赔？理赔流程是什么？,"理赔,流程,方式",80%,100%,是,7380ms
标准问题,线下办理理赔的地址和时间是什么？,线下办理理赔的地址和时间是什么？,"线下理赔地址,工作时间",50%,100%,是,3224ms
标准问题,理赔门槛是多少？超过多少费用可以申请理赔？,理赔门槛是多少？超过多少费用可以申请理赔？,"免赔额,门槛费,理赔标准",20%,20%,是,10793ms
标准问题,住院手术需要装起搏器，怎么申请理赔？,住院手术需要装起搏器，怎么申请理赔？,"起搏器,住院理赔,直赔登记",40%,100%,是,4697ms
标准问题,特药理赔怎么申请？,特药理赔怎么申请？,"特药,理赔流程,申请方式",60%,100%,否,2829ms
标准问题,可以为他人进行理赔报案吗？,可以为他人进行理赔报案吗？,"他人理赔,代报案,理赔代办",0%,100%,是,4214ms
标准问题,免赔额不是按年算吗，为什么还有免赔额,免赔额不是按年算吗，为什么还有免赔额,"免赔额定义,免赔额含义,免赔额解释",0%,30%,是,3694ms
标准问题,日间免赔只自费部分吗，我2024年跟明天俩次手术要分两次赔付,日间免赔只自费部分吗，我2024年跟明天俩次手术要分两次赔付,"免赔额,自付部分,日间手术",60%,36%,是,10338ms
标准问题,未达免赔额是什么意思,未达免赔额是什么意思,"免赔额定义,免赔额含义,免赔额解释",33%,96%,是,8834ms
标准问题,请问免赔额是多少,请问免赔额是多少,"免赔额金额,免赔额数额,自付额度",0%,100%,是,9329ms
标准问题,我看保单上有门诊手术免赔额是1000元。,我看保单上有门诊手术免赔额是1000元。,"门诊手术,免赔额,1000元",20%,100%,是,10060ms
标准问题,快赔系统没带出来这一段时间的就诊记录，走的传统通道,快赔系统没带出来这一段时间的就诊记录，走的传统通道,"免赔额,赔付比例,责任一",0%,0%,否,1118ms
标准问题,那个直赔怎么没有报销,那个直赔怎么没有报销,"直赔,没有报销,赔付比例",80%,100%,是,11763ms
标准问题,南京鼓楼医院南部院区住院可以直赔吗？,南京鼓楼医院南部院区住院可以直赔吗？,"南京鼓楼医院,直赔,住院理赔",40%,100%,是,8129ms
标准问题,直赔登记怎么登记,直赔登记怎么登记,"直赔登记,如何登记,南京宁惠保",60%,100%,是,7196ms
标准问题,宁惠保的免赔额是如何计算的？,宁惠保的免赔额是如何计算的？,"免赔额计算,免赔额算方法,免赔额如何算",0%,100%,是,3424ms
标准问题,麻烦把家庭被保人陈玉琴也一并退保,麻烦把家庭被保人陈玉琴也一并退保,"退保,家庭成员,一起退",0%,0%,否,1239ms
标准问题,如何办理退保手续？,如何办理退保手续？,"退保,取消保险,退款流程",20%,100%,是,3051ms
标准问题,如何取消自动续费,如何取消自动续费,"取消自动续费,退保,关闭续保",20%,100%,是,4802ms
标准问题,这款产品的犹豫期有多久？,这款产品的犹豫期有多久？,"犹豫期,冷静期,退保",0%,100%,是,2983ms
标准问题,如何取消自动续保,如何取消自动续保,"取消自动续保,关闭续保,停止续费",20%,100%,是,8202ms
标准问题,取消自动续保这个,取消自动续保这个,"取消自动续保,退保,关闭续保",0%,100%,否,888ms
标准问题,退保的费用是怎么计算的？,退保的费用是怎么计算的？,"退保,退款,费用计算",20%,100%,是,4691ms
标准问题,怎么取消续保功能,怎么取消续保功能,"取消续保,自动续保,关闭续保",20%,100%,是,7090ms
标准问题,请问门诊双通道的药品可以报销吗？,请问门诊双通道的药品可以报销吗？,"门诊双通道,药品报销,特药",100%,22%,是,7837ms
标准问题,门特门诊医保可以报销的,门特门诊医保可以报销的,"门特门诊,医保报销,自动续保",60%,100%,是,9555ms
标准问题,你好我想问下门诊双通道现在也可以报销吗,你好我想问下门诊双通道现在也可以报销吗,"门诊双通道,是否可报销,门诊费用",80%,100%,是,13183ms
标准问题,那我刚才看你们的宣传说门诊看的也可以报，那是什么东西,那我刚才看你们的宣传说门诊看的也可以报，那是什么东西,"门诊,报销范围,宣传内容",60%,100%,是,12638ms
相似问题,我是南京医保，可以给省内医保的家人/外地医保的家人参保吗,我可以用南京医保给外地的家人买保险吗？,"南京医保,家人参保,外地医保",40%,100%,是,4739ms
相似问题,这款产品会停售吗？,这个保险还会继续卖吗？,"停售,停止销售,下架",0%,100%,否,3426ms
相似问题,已经划扣，需要取消，如何操作退费?,钱已经被扣了，怎么退回来？,"退保,取消保险,退款",17%,0%,是,4252ms
相似问题,哪些人群可以参加南京宁惠保？,没交医保的人能参加宁惠保吗？,"参保对象,近亲属,断保用户",40%,100%,是,3632ms
相似问题,怎么查询或下载发票？,怎么获取宁惠保的发票？,"发票,电子发票,下载发票",40%,100%,否,2642ms
相似问题,填写的身份信息会被泄露吗？,填写的个人信息会不会被泄露？,"信息泄露,隐私保护,身份信息",40%,100%,是,3319ms
相似问题,宁惠保的赔付标准是什么？,宁惠保的赔付比例是多少？,"宁惠保,赔付标准,报销比例",50%,100%,是,8057ms
相似问题,开通了自动续保后会从哪些渠道划扣?,开通自动续保后保费从哪里扣？,"自动续保,划扣渠道,支付方式",40%,100%,是,4820ms
相似问题,省外医保人员是否可以参保南京宁惠保？,外地人能买南京宁惠保吗？,"省外医保,参保条件,居住证明",60%,100%,否,3175ms
相似问题,投保后，为什么一直显示出单中？,为什么显示还在出单？,"出单中,状态,审核",0%,0%,否,853ms
相似问题,什么是等待期,买了保险多久才能理赔？,"等待期,观察期,免责期",0%,100%,是,3809ms
相似问题,外籍人士可以投保这款产品吗？,外国人可以买这款保险吗？,"外籍人士,投保资格,外国人参保",20%,100%,否,2385ms
相似问题,什么是免赔额？免赔额是多少？,免赔额多少钱？,"免赔额金额,免赔额数额,自付额度",0%,100%,是,5953ms
相似问题,退休后，可以投保本产品吗？,退休了还能买这个保险吗？,"退休,投保,购买",40%,100%,否,2759ms
相似问题,投保这款产品需要满足什么条件？,这款保险谁能买？,"投保条件,参保要求,购买资格",0%,100%,否,4745ms
相似问题,预留手机号可以修改吗？如何修改？,手机号码可以改吗？,"手机号,修改,预留信息",40%,100%,是,2805ms
相似问题,城市定制型保险/普惠型补充医疗保险是什么？,什么是城市定制型商业保险？,"城市定制型保险,普惠型补充医疗,政府合作",20%,100%,是,3911ms
相似问题,如何查询自己是否已开通自动续保?,怎么查我有没有开自动续保？,"自动续保,查询,是否开通",20%,100%,否,851ms
相似问题,可以变更受益人吗,能不能改一下受益人信息？,"变更受益人,修改受益人,指定受益人",20%,100%,否,2592ms
相似问题,这款产品的领款人是谁？,谁可以领取保险赔款？,"领款人,被保险人,监护人",100%,100%,否,2595ms
相似问题,全家参保有什么额外好处吗？,如果全家一起买保险有什么好处？,"全家参保,家庭共享,多人投保",20%,100%,是,3180ms
相似问题,为什么建议您保留自动续保?,不设置自动续保会怎样？,"自动续保,续保,保障中断",80%,100%,是,4758ms
相似问题,保单到期后，没有出险保费会返还吗？,如果没出险，到期能拿回钱吗？,"保单到期,保费返还,消费型保险",20%,100%,是,4443ms
相似问题,为什么价格这么优惠？,为什么这么便宜？,价格优惠原因,0%,100%,是,6520ms
相似问题,投保后提供纸质保单还是电子保单？,买了保险会收到纸质合同吗？,"电子保单,纸质保单,凭证",20%,100%,否,2884ms
相似问题,这款产品保额是多少？,最多能赔多少钱？,"保额,赔付上限,最高赔付",0%,55%,是,12456ms
相似问题,这款产品生效时间早于投保时间是否合规？,保险什么时候开始生效？,"生效时间,投保时间,合规",0%,50%,否,2939ms
相似问题,这款产品可以续保吗？续保规则是什么？,明年还能继续买吗？,"续保规则,能否续保,每年可否续保",0%,100%,是,5996ms
相似问题,已经购买了其他医疗保障产品，是否还需要购买南京宁惠保？,我已经有商业医疗保险了，还用买宁惠保吗？,"已有医疗保障,是否还需,叠加保障",33%,100%,是,3993ms
相似问题,什么是“南京宁惠保？,宁惠保是什么类型的保险？,"南京宁惠保,是什么,政府指导",40%,100%,是,4817ms
相似问题,这款产品怎么投保？,我要怎么买南京宁惠保？,"怎么参保,投保方式,购买方法",20%,100%,否,2609ms
相似问题,参保有截止日期吗？,南京宁惠保还有多久可以买？,"截止日期,参保时间,什么时候截止",20%,100%,否,3562ms
相似问题,为什么保单上没有保险公司的盖章？,保单上怎么没有印章？,"保单,盖章,公章",60%,100%,是,4216ms
相似问题,续保需要重新填写资料吗？,续保的时候需要重新提交材料吗？,"续保,资料,重新填写",80%,100%,是,3489ms
相似问题,这款产品是哪个保险公司承保的？,宁惠保是哪个保险公司出的？,"承保公司,保险公司,联合承保",20%,100%,否,2946ms
相似问题,如何实现家庭参保共享免赔额，理赔时如何认定为一个家庭？,一家人能共享免赔额吗？,"免赔额共享,家庭免赔额,免赔额合并",0%,100%,否,5042ms
相似问题,暂时不需要自动续保“南京宁惠保六期，如何取消?,怎么关掉南京宁惠保的自动续保？,"取消自动续保,关闭续保服务,宁惠保六期",20%,100%,是,4635ms
相似问题,投保这款产品是否需要健康告知/体检？,买这款保险要体检吗？,"健康告知,体检,是否需要",0%,100%,否,5329ms
相似问题,这款产品和医保的区别？,这款保险和医保有什么不同？,"南京宁惠保,医保区别,医疗补充保险",40%,100%,是,6995ms
相似问题,这款产品什么时候生效？,买了之后多久才管用？,"生效时间,保障开始,什么时候开始",0%,67%,否,3074ms
相似问题,是否可以带病投保？,我已经有病了还能买这个保险吗？,"带病投保,可以买保险吗,已有疾病参保",0%,100%,是,5976ms
相似问题,南京基本医保参保人可以为直系亲属投保宁惠保吗？,我可以给家人买宁惠保吗？,"为亲属投保,直系亲属参保,家庭成员买保险",0%,100%,是,3917ms
相似问题,电子保单什么时候可以查下并下载？,电子保单在哪里可以查到？,"电子保单,下载,查询",100%,100%,是,2929ms
相似问题,有社保和无社保投保有什么区别,没有医保的人能不能买宁惠保？,"有社保和无社保区别,参保条件,是否必须有医保",0%,100%,是,3497ms
相似问题,这款产品有哪些投保渠道？,除了公众号，还有哪些地方可以买宁惠保？,"投保渠道,购买途径,线上投保",20%,100%,否,2268ms
相似问题,购买宁惠保是否还需要购买国家基本医疗保险？,买了宁惠保还需要买医保吗？,"宁惠保,医保,基本医疗保险",60%,100%,是,2696ms
相似问题,宁惠保六期是否支持使用医保个账购买，是否有金额限制，是否支持,可以用医保卡余额买宁惠保吗？,"医保个账,购买,金额限制",80%,100%,否,3003ms
相似问题,这款产品有哪些优待政策吗？,如果我每年都买宁惠保，有优惠吗？,"优待政策,续保优惠,保费减免",100%,100%,是,13415ms
相似问题,申请退保后保费多久到账？,退保之后多久能收到钱？,"退保,退款,保费到账",20%,100%,是,3142ms
相似问题,这款产品可以为他人投保吗？,我可以给我爸妈买这份保险吗？,"为他人投保,给家人买,帮别人参保",20%,100%,是,3970ms
相似问题,已经购买了其他产品，是否还需要购买这款产品？,已经有医保还需要买这个吗？,"重复购买,其他产品,是否需要",17%,100%,是,3939ms
相似问题,非南京户籍人员是否可以购买南京宁惠保？,不是南京户口的人能买宁惠保吗？,"南京宁惠保,非户籍,购买条件",20%,100%,是,3672ms
相似问题,免赔额具体金额是多少？,免赔额多少钱？,"免赔额金额,免赔额数额,自付额度",0%,76%,是,6119ms
相似问题,与去年相比，“南京宁惠保”六期的保障有变化吗？,南京宁惠保六期和五期有什么不一样？,"南京宁惠保,六期,保障变化",60%,100%,是,5481ms
相似问题,这款产品保费是多少？,这款保险一年要交多少？,保费金额,0%,40%,是,3821ms
相似问题,去年参保了，今年继续参保有没有什么优待？,如果去年买了今年继续买，有什么好处？,"连续参保,续保优惠,未出险",80%,100%,是,8379ms
相似问题,家庭成员是否可以共享免赔额？,一家人能共享免赔额吗？,"免赔额共享,家庭免赔额,免赔额合并",0%,100%,否,3255ms
相似问题,哪些人群可以参保南京宁惠保？,哪些人可以买南京宁惠保？,"参保条件,南京宁惠保,医保参保人",40%,100%,否,2991ms
相似问题,这款产品保障多长时间？,这份保险能保几年？,"保障期限,有效期,多长时间",0%,43%,否,3318ms
相似问题,今年还可以用医保个账支付保费吗？,可以用医保卡里的钱交保费吗？,"医保个账,个人账户,医保余额",33%,100%,是,3346ms
相似问题,这款产品的等待期/观察期有多久？,买了保险多久才能理赔？,"等待期,观察期,责任",0%,0%,是,3818ms
相似问题,怎么为家人激活电子医保凭证？,如何给家人开通电子医保卡？,"激活医保凭证,电子医保卡,微信激活",20%,100%,是,4467ms
相似问题,去年已购买了“南京宁惠保”，今年还需要重新购买吗？,去年买了南京宁惠保，今年还要买吗？,"南京宁惠保,是否需要重新购买,一年期产品",60%,100%,是,2909ms
相似问题,这款产品和其他商业险是否有冲突？,买了这个会影响别的保险吗？,"与其他保险冲突,和商业险关系,是否影响其他保险",0%,100%,是,6841ms
相似问题,续保时需要再次告知身体状况吗,续保的时候还要说身体情况吗？,"续保,告知健康状况,身体情况",20%,100%,否,2378ms
相似问题,家庭成员如何共享免赔额？需要提供哪些证明材料？,一家人能共享免赔额吗？,"免赔额共享,家庭免赔额,免赔额合并",0%,100%,否,3369ms
相似问题,在哪里查询这款产品的条款？,这款保险具体保什么？,"保险条款,保障内容,合同",0%,100%,是,3520ms
相似问题,这款产品的赔付比例是多少？,这款保险能报多少？,"赔付比例,报销比例,免赔额",0%,3%,是,3553ms
相似问题,是多次住院累计报销额超过多少可以报销,多次住院的免赔额是累计的吗？,"多次住院,累计免赔额,报销门槛",0%,100%,是,8888ms
相似问题,现在住院自费太高，自费加起来2万才报吗,住院花了很多钱，怎么才赔这么点？,"住院自费,年度累计",0%,68%,是,11204ms
相似问题,谁没事整天住院？,是不是经常住院才买这个保险？,"住院频率,住院次数,住院问题",20%,0%,是,9172ms
相似问题,住院总费用1.3万，自费4千,住院花了1.3万，自己要付多少？,"住院费用自费,赔付比例",100%,41%,是,9835ms
相似问题,可以延期么？我父母在南京住院现在已经回老家了，办理文件不方便,我爸妈回老家了，理赔材料来不及怎么办？,"延期,住院文件,办理不便",20%,0%,是,6832ms
相似问题,25年12月住院，26年1月1号出院，怎么在查询时看不到25,25年12月住院，26年1月出院，能报哪一年的保险？,"跨年住院,报销,入院时间",40%,100%,是,7574ms
相似问题,如何咨询关于南京宁惠保的参保问题？,想了解宁惠保怎么买，该找谁？,"咨询参保,购买问题,投保疑问",0%,100%,否,3284ms
相似问题,能查到我的保单么,我的保险合同可以在线查到吗？,"保单,查询,查看",20%,0%,否,1077ms
相似问题,在哪里查询或下载我的保单？,如何下载我的电子保单？,"下载,保单,电子凭证",0%,100%,否,717ms
相似问题,这个自动续保我都不知道怎么就自动续保了？能取消订单吗,我不想继续买了，怎么关掉自动续保？,"自动续保,取消订单,退保",0%,100%,否,2711ms
相似问题,保单号可以空着吗,申请理赔时没有保单号怎么办？,"保单号,填写要求,是否必填",60%,0%,是,6096ms
相似问题,哪里可以查看我的保单,怎么查我的保险单？,"保单,查看,凭证",0%,100%,否,1013ms
相似问题,宁惠保电子保单怎么下载？,怎么查宁惠保的电子保单？,"宁惠保,电子保单,下载",43%,100%,是,3158ms
相似问题,宁惠保是否可以报销住院费用？,宁惠保住院费用能报多少？,宁惠保住院报销,0%,100%,是,4289ms
相似问题,痔疮手术是否可以理赔,做痔疮手术能报销吗？,"痔疮手术,理赔,日间手术",100%,100%,是,3449ms
相似问题,哪些疾病可以理赔？,哪些病可以申请赔付？,"理赔,疾病,报销",17%,100%,是,4187ms
相似问题,门诊手术是否可以报销,门诊做个小手术能报销吗？,"门诊手术,报销条件,日间手术",60%,100%,是,4924ms
相似问题,脑梗、脑出血可以报销吗？,脑梗住院能报销吗？,"脑梗,脑出血,住院报销",40%,100%,是,5044ms
相似问题,国外的住院医疗费用本产品可以理赔吗？,在国外住院能不能报销？,"国外,住院费用,理赔",17%,100%,否,2950ms
相似问题,去年投保了，今年投保，去年确认恶性肿瘤，算既往症吗？,去年确诊癌症，今年还能正常理赔吗？,"既往症,老毛病,恶性肿瘤",60%,100%,否,2998ms
相似问题,基因检测费用是否可以报销？,做基因检测能不能报保险？,"基因检测,费用报销,住院清单",40%,100%,是,3130ms
相似问题,本产品既往症具体有哪些？,哪些老毛病不能保？,"既往症有哪些,老毛病范围,已有疾病",0%,100%,是,4406ms
相似问题,手术费用是否可以理赔,做手术的费用可以申请赔款吗？,手术费理赔,100%,100%,是,3870ms
相似问题,宁惠保理赔中哪些情况符合药房购药的理赔条件？,在药店买药能用宁惠保报销吗？,"宁惠保,药房购药,理赔条件",71%,100%,是,7457ms
相似问题,住院费用是否可以报销？如何申请？,住院的费用能申请赔付吗？怎么操作？,"住院费用,是否可以报销,理赔流程",40%,100%,是,4760ms
相似问题,进口药、自费药可以报销吗,进口的药能报吗？,"进口药,自费药,报销",60%,100%,是,3969ms
相似问题,如何申请特药理赔？,怎么申请南京宁惠保的特药理赔？,"特药理赔,特效药,靶向药",40%,100%,否,3337ms
相似问题,普通门诊费用是否可以报销？,普通门诊能报销吗？,"普通门诊,门诊费用,能否报销",20%,100%,否,2095ms
相似问题,什么情况下可以申请宁惠保理赔？,宁惠保什么时候可以报销？,"宁惠保理赔,申请条件,住院费用",40%,100%,是,3904ms
相似问题,这款产品可以重复报销吗？,能不能买两份一起用？,"重复报销,多份无效,只能买一份",0%,100%,否,2616ms
相似问题,南京宁惠保六期有哪些保障和优惠政策？,宁惠保六期都保哪些东西？,"宁惠保六期保障,宁惠保内容,优惠条款",0%,100%,是,2949ms
相似问题,门诊日间手术包含哪些内容？,门诊看病能报保险吗？,"门诊,报销,理赔",80%,100%,是,5252ms
相似问题,门诊日间手术可以理赔吗？有哪些病种？,哪些门诊日间手术可以理赔？,"日间手术,理赔,病种",80%,100%,是,7730ms
相似问题,狂犬疫苗费用是否可以报销,打狂犬疫苗的钱能报吗？,"狂犬疫苗,报销,理赔范围",80%,100%,是,2773ms
相似问题,宁惠保理赔范围包括哪些类型费用？,宁惠保保什么类型的费用？,"宁惠保,理赔范围,保障内容",86%,100%,是,3014ms
相似问题,门特和门诊大病是什么？怎么办理？,什么是门特门诊？怎么申请？,"门特,门诊大病,办理流程",60%,100%,是,3005ms
相似问题,“南京宁惠保”六期不能报销什么病种？,南京宁惠保六期哪些疾病不能报销？,"南京宁惠保,六期,不报销",60%,100%,否,4237ms
相似问题,哪些情况不赔付？除外责任是什么？,哪些情况不能理赔？,"不赔付,除外责任,免责条款",20%,100%,是,5378ms
相似问题,哪里可以查询医保定点医院？,怎么查医保指定的医院？,"医保,定点医院,查询",83%,100%,否,2875ms
相似问题,意外可以赔付吗？,如果发生意外能报销吗？,"意外,赔付,报销",60%,100%,否,2888ms
相似问题,急诊费用是否可以报销？,急诊看病能报吗？,"急诊报销,门诊费用,理赔范围",40%,100%,是,3137ms
相似问题,门诊看病是否可以报销,门诊看病能报销多少？,"门诊看病,报销,门特",80%,100%,是,3606ms
相似问题,什么是责任一、责任二、责任三？各保障什么？,宁惠保都保哪些项目？,"责任一,责任二,责任三",0%,0%,是,3408ms
相似问题,甲状腺手术费用是否可以报销,做了甲状腺手术能报保险吗？,"甲状腺手术,报销,理赔",60%,100%,是,4744ms
相似问题,那之前门诊拍片子之类的算么？,之前在门诊拍片子能不能报？,"门诊,免赔额,报销",100%,100%,是,12583ms
相似问题,生孩子的费用能报销吗？,生宝宝的费用可以报销吗？,"生育费用,生孩子报销,产检费用",0%,100%,否,2672ms
相似问题,双通道门诊用药如何报销,双通道门诊的药品能报销吗？,"双通道,门诊用药,报销",60%,100%,是,5544ms
相似问题,门诊检查费用是否可以报销？,门诊检查的费用能报销吗？,"门诊检查,报销,费用",80%,100%,是,3817ms
相似问题,这款产品免除责任内容在哪里查看？,这款保险哪些情况不赔？,"免除责任,免责内容,不保什么",20%,100%,是,5915ms
相似问题,宁惠保理赔范围是什么？,宁惠保都保哪些门诊和住院项目？,"宁惠保,理赔范围,保障范围",43%,100%,是,3171ms
相似问题,种植牙是否可以报销,种牙能报保险吗？,"种植牙,报销范围,赔付内容",60%,100%,否,3242ms
相似问题,宁惠保的理赔范围包括哪些类型费用？,宁惠保能报销哪些类型的费用？,"宁惠保,理赔范围,报销类型",67%,100%,是,3929ms
相似问题,宁惠保是否包含意外险,宁惠保有没有意外保障？,"意外险,主险,附加险",80%,100%,否,3392ms
相似问题,住院手术费用是否可以报销,做手术的费用能报吗？,"住院手术,门诊大病,门特",60%,100%,是,3585ms
相似问题,住院报销需要哪些材料？,住院理赔需要准备哪些资料？,"住院,报销,材料",80%,100%,是,5652ms
相似问题,这款产品保障范围是什么？,这个保险都保哪些项目？,"保障范围,保什么,覆盖内容",0%,0%,是,2703ms
相似问题,门诊费用是否可以报销？,门诊费用有哪些是可以报的？,"门诊费用,报销,保障内容",100%,100%,是,11416ms
相似问题,南京宁惠保是否覆盖门诊治疗？,南京宁惠保有没有门诊的报销？,"南京宁惠保,门诊治疗,保障范围",100%,100%,是,2840ms
相似问题,中草药费用报销吗？,中草药的费用可以报销吗？,"中草药,费用,报销",80%,100%,是,5284ms
相似问题,其他城市什么时候上线？,我们这边什么时候会上线这个保险？,"上线时间,城市覆盖,地区开通",0%,100%,否,3006ms
相似问题,当地医保局电话多少？,请问本地医保局的联系电话是多少？,"医保局电话,当地医保咨询,医保热线",0%,100%,否,2846ms
相似问题,如何处理已投保但单位已为其办理团险的情况？,单位已经给我买了保险，我之前自己买的怎么办？,"团险重复,单位已参保,退款登记",20%,100%,是,2804ms
相似问题,理赔金额是如何计算的？,理赔能赔多少钱？,"理赔金额,计算方式,医保后赔付",0%,100%,是,9522ms
相似问题,如何申请南京宁惠保医疗理赔？,我要怎么申请南京宁惠保的医疗赔付？,"理赔申请,医疗理赔,报销",67%,100%,是,4399ms
相似问题,如有问题，去哪儿咨询？,有问题可以找谁帮忙？,"咨询,客服,联系方式",40%,100%,否,1959ms
相似问题,人工客服服务时间是多少？,你们几点下班？,"客服时间,服务时间,人工服务",20%,100%,是,5249ms
相似问题,人工客服电话是多少？,打哪个电话找客服？,"客服电话,联系电话,人工电话",0%,100%,否,2653ms
相似问题,这是我投保人的电话,投保人的手机号码是哪个？,"投保人电话,联系方式,被保险人",0%,0%,否,1088ms
相似问题,你好，请问投保的五期和六期有什么差别,请问基础版和升级版有什么不同？,"投保,五期,六期",60%,91%,是,15304ms
相似问题,如何重复参保南京宁惠保？,能不能重复买南京宁惠保？,"重复参保,再次投保,南京宁惠保",40%,100%,否,3168ms
相似问题,怎么查询别人是购买的是99还是150,别人买的宁惠保是99还是150？,"查询版本,99元,150元",40%,0%,否,2610ms
相似问题,在哪里查询投保须知？,在哪买宁惠保？,"投保渠道,购买方式,参保途径",0%,100%,否,2600ms
相似问题,我想取消自动投保,怎么取消自动续保？,"取消自动投保,退保,关闭续保",20%,100%,是,5887ms
相似问题,后投保后多次时间生效,投保后免赔额怎么算？,多次投保生效规则,0%,29%,是,3519ms
相似问题,还有既往症是不是只能报销百分之30,有旧病的话能报多少？,"既往症,赔付比例,报销比例",60%,100%,是,10623ms
相似问题,怎么判断既往症？,怎么知道我是不是属于既往症？,"判断既往症,老毛病定义,已有疾病",50%,100%,是,8206ms
相似问题,既往症怎么认定的,之前有病会影响理赔吗？,"既往症认定,老毛病处理,已有疾病",0%,100%,是,6739ms
相似问题,既往症是什么意思,什么是既往症？,"既往症,老毛病,已有疾病",20%,0%,是,3924ms
相似问题,对于既往症是什么政策啊,有旧病还能不能理赔？,"既往症,老毛病,已有疾病",33%,43%,是,6954ms
相似问题,参保所需证件类型指的是什么,买保险需要带什么证件？,"证件类型,身份证,材料",40%,100%,否,2322ms
相似问题,保险人是指什么？,什么是保险公司的角色？,"保险人,承保人,保险公司",60%,100%,否,2467ms
相似问题,投保人、被保险人分别指什么？,投保人和被保人有什么区别？,"投保人,被保险人,定义",60%,100%,是,5511ms
相似问题,什么是社会基本医疗保险,什么是国家规定的基本医保？,"社会基本医疗保险,医保,基本医疗",50%,100%,否,2742ms
相似问题,什么是医保身份？,什么是医保的参保身份？,"医保身份,社保身份,医保参保",40%,100%,是,3300ms
相似问题,什么是社会保险定点医院？,哪些医院是医保定点的？,"定点医院,医保医院,社保医院",20%,100%,否,2916ms
相似问题,什么叫必需且合理的医疗费用？,什么是必须的医疗费用？,"必需且合理,医疗费用,治疗规范",80%,100%,是,7287ms
相似问题,南京门诊大病指哪些病？,南京门诊大病包括哪些病？,"南京门诊大病,病种范围,特殊病种",80%,100%,是,6079ms
相似问题,什么是个人自付和个人自费？,医保报销后自己还要付钱吗？,"个人自付,个人自费,医保目录内",0%,100%,是,4205ms
相似问题,什么是既往症？既往症包括哪些疾病？,既往症具体指哪些情况？,"既往症,老毛病,已有疾病",20%,100%,是,5591ms
相似问题,什么是门诊大病？,门诊大病是什么意思？,"门诊大病,特殊疾病门诊,门特",33%,100%,是,3819ms
相似问题,什么是商业保险？,商业保险和社保有什么区别？,"商业保险,商业险,非社保",60%,100%,是,4090ms
相似问题,医疗费用发票原件丢失了怎么办？,医疗发票弄丢了怎么办？,"发票丢失,医疗发票丢了,理赔材料缺失",0%,100%,否,3045ms
相似问题,如果是不在医保内的药品，就没有包括在责任二里面？,医保范围外的药有没有报销？,"医保外药品,责任二,不包含",20%,44%,是,6148ms
相似问题,阿来替尼是特药吗,阿来替尼属于特药吗？,"阿来替尼,特药,特效药",80%,9%,是,3302ms
相似问题,老人已经去世了，还有药品的报销。这怎么操作？没办法委托,被保险人过世了，还能不能报药费？,"去世,报销,药品",80%,100%,是,6208ms
相似问题,那个医保外报销的指的就是特药报销？,医保范围外的药能报销吗？,"医保外,特药,药品报销",60%,74%,是,8750ms
相似问题,能帮我查下格列卫在特药范围内吗？,格列卫在你们的特药保障里吗？,"格列卫,特药,药品范围",80%,100%,是,6907ms
